auto_id,automerk,carroserie,verkoopprijsprijs,kilometerstand,versnellinsbak,leeftijd_auto,type_motor,pk,nieuwstaat,lease_bedrag,airco
4178,Volgswagen,Cabrio,43850.0,32242.0,Automatisch,4.0,Benzine,156.0,Gebruikt,477.2900926748707,False
4179,Volgswagen,Cabrio,34695.0,56396.0,Automatisch,6.0,Benzine,184.0,Gebruikt,407.7704769755808,False
4180,Volgswagen,Cabrio,24950.0,100400.0,Automatisch,19.0,Benzine,245.0,Gebruikt,366.0637947831184,True
4181,Volgswagen,Cabrio,12950.0,83316.0,Automatisch,24.0,Benzine,136.0,Gebruikt,278.17927057028726,True
4182,Volgswagen,Cabrio,13950.0,86249.0,Automatisch,15.0,Benzine,163.0,Gebruikt,234.03542507499333,True
4183,Volgswagen,Cabrio,43950.0,44092.0,Automatisch,4.0,Benzine,,Gebruikt,448.60709149118793,False
4184,Volgswagen,Cabrio,24500.0,159579.0,Automatisch,34.0,Benzine,,Oldtimer,440.07575186576105,False
4185,Volgswagen,Cabrio,34500.0,102031.0,Automatisch,5.0,Benzine,184.0,Gebruikt,452.87566743587536,True
4186,Volgswagen,Cabrio,14900.0,182583.0,Automatisch,14.0,LPG,231.0,Gebruikt,269.37838174791733,False
4187,Volgswagen,Cabrio,23250.0,42737.0,Handgeschakeld,11.0,Benzine,184.0,Gebruikt,338.4807214236484,True
4188,Volgswagen,Cabrio,37950.0,63316.0,Automatisch,19.0,Benzine,500.0,Gebruikt,452.6662522230074,False
4189,Volgswagen,Cabrio,19900.0,129665.0,Automatisch,10.0,Diesel,170.0,Gebruikt,330.12822637732,False
4190,Volgswagen,Cabrio,43950.0,27392.0,Automatisch,4.0,Benzine,156.0,Gebruikt,561.5349125805265,True
4191,Volgswagen,Cabrio,54950.0,3994.0,Automatisch,37.0,Benzine,239.0,Oldtimer,600.4283592809161,False
4192,Volgswagen,Cabrio,39900.0,106079.0,Automatisch,11.0,Benzine,232.0,Gebruikt,588.4821662993413,False
4193,Volgswagen,Cabrio,47900.0,77072.0,Automatisch,54.0,Benzine,,Gebruikt,490.473801264067,False
4194,Volgswagen,Cabrio,39950.0,48588.0,Automatisch,4.0,Benzine,156.0,Gebruikt,462.16074972308695,True
4195,Volgswagen,Cabrio,17495.0,184897.0,Automatisch,11.0,Benzine,184.0,Gebruikt,327.59887739906816,False
4196,Volgswagen,Cabrio,6899.0,67903.0,Automatisch,25.0,Benzine,194.0,Gebruikt,250.99301339378712,True
4197,Volgswagen,Cabrio,31995.0,74513.0,Automatisch,7.0,Benzine,184.0,Gebruikt,445.3274755885772,True
4198,Volgswagen,Cabrio,29999.0,165655.0,Automatisch,6.0,Diesel,204.0,Gebruikt,346.1896785871492,False
4199,Volgswagen,Cabrio,46990.0,32500.0,Automatisch,4.0,Benzine,184.0,Gebruikt,574.1308983921045,True
4200,Volgswagen,Cabrio,84990.0,62879.0,Automatisch,6.0,Benzine,455.0,Gebruikt,875.5954208945391,True
4201,Volgswagen,Cabrio,18250.0,92000.0,Automatisch,10.0,Diesel,170.0,Gebruikt,255.20738904503827,False
4202,Volgswagen,Cabrio,19950.0,135082.0,Automatisch,19.0,Benzine,245.0,Gebruikt,301.2641736436501,True
4203,Volgswagen,Cabrio,14900.0,184611.0,Automatisch,15.0,Benzine,232.0,Gebruikt,263.4941251998223,False
4204,Volgswagen,Cabrio,23750.0,172252.0,Automatisch,22.0,Benzine,224.0,Gebruikt,344.50457405134,True
4205,Volgswagen,Cabrio,31900.0,138589.0,Automatisch,6.0,Diesel,165.0,Gebruikt,469.3738122359064,False
4206,Volgswagen,Cabrio,22450.0,115239.0,Automatisch,10.0,Benzine,204.0,Gebruikt,440.6357828577069,False
4207,Volgswagen,Cabrio,25750.0,177221.0,Automatisch,14.0,Benzine,315.0,Gebruikt,412.2157110484567,False
4208,Volgswagen,Cabrio,29151.0,37629.0,Automatisch,7.0,Benzine,184.0,Gebruikt,413.9680000959094,True
4209,Volgswagen,Cabrio,17950.0,148398.0,Automatisch,18.0,Benzine,245.0,Gebruikt,281.2496376910151,False
4210,Volgswagen,Cabrio,21500.0,107116.0,Automatisch,17.0,Benzine,245.0,Gebruikt,253.2735768469653,False
4211,Volgswagen,Cabrio,14888.0,63008.0,Automatisch,18.0,Benzine,165.0,Gebruikt,254.31742193087388,True
4212,Volgswagen,Cabrio,34900.0,95000.0,Automatisch,5.0,Benzine,184.0,Gebruikt,438.7177504330161,True
4213,Volgswagen,Cabrio,14950.0,110024.0,Automatisch,15.0,Benzine,163.0,Gebruikt,208.0805774227394,False
4214,Volgswagen,Cabrio,17945.0,146381.0,Automatisch,11.0,Diesel,170.0,Gebruikt,269.319540944824,False
4215,Volgswagen,Cabrio,63945.0,12759.0,Automatisch,2.0,Benzine,197.0,Gebruikt,698.390439590826,False
4216,Volgswagen,Cabrio,38450.0,84154.0,Automatisch,42.0,Benzine,218.0,Gebruikt,522.352865690071,False
4217,Volgswagen,Cabrio,22950.0,119690.0,Automatisch,10.0,Benzine,184.0,Gebruikt,387.7129337671473,True
4218,Volgswagen,Cabrio,24950.0,90009.0,Automatisch,10.0,Benzine,184.0,Gebruikt,407.1070202353072,False
4219,Volgswagen,Cabrio,49950.0,44915.0,Automatisch,4.0,Benzine,184.0,Gebruikt,535.0499475924555,True
4220,Volgswagen,Cabrio,29500.0,1.0,Automatisch,34.0,Benzine,230.0,Oldtimer,356.71390186441926,False
4221,Volgswagen,Cabrio,11000.0,75000.0,,44.0,Benzine,245.0,Gebruikt,285.0267827113933,True
4222,Volgswagen,Coupé,158645.0,24352.0,Automatisch,3.0,Benzine,639.0,Gebruikt,1548.3360664157092,True
4223,Volgswagen,Coupé,104900.0,63730.0,Automatisch,6.0,Benzine,510.0,Gebruikt,1022.365049661987,True
4224,Volgswagen,Coupé,94950.0,22564.0,Automatisch,3.0,Benzine,476.0,Gebruikt,981.722614858154,True
4225,Volgswagen,Coupé,299850.0,9700.0,Automatisch,2.0,Benzine,585.0,Gebruikt,2653.590636387029,True
4226,Volgswagen,Coupé,152612.0,10.0,Automatisch,0.0,Benzine,435.0,Nieuw,1399.5339249627823,True
4227,Volgswagen,Coupé,149850.0,21322.0,Automatisch,4.0,Benzine,612.0,Gebruikt,1348.2126987035535,True
4228,Volgswagen,Coupé,22750.0,63685.0,Handgeschakeld,6.0,Benzine,156.0,Gebruikt,320.07311890793665,True
4229,Volgswagen,Coupé,114950.0,161956.0,Automatisch,4.0,Benzine,612.0,Gebruikt,1137.5365827779692,True
4230,Volgswagen,Coupé,72500.0,83152.0,Automatisch,6.0,Elektrisch,455.0,Gebruikt,751.9750300125233,False
4231,Volgswagen,Coupé,99850.0,48920.0,Automatisch,7.0,Benzine,510.0,Gebruikt,939.2269051440412,True
4232,Volgswagen,Coupé,46980.0,34340.0,Automatisch,4.0,Benzine,258.0,Gebruikt,579.1332862070659,False
4233,Volgswagen,Coupé,62400.0,110352.0,Automatisch,6.0,Benzine,510.0,Gebruikt,636.6876992866523,True
4234,Volgswagen,Coupé,59845.0,65774.0,Automatisch,5.0,Benzine,367.0,Gebruikt,695.5754721426617,True
4235,Volgswagen,Coupé,110420.0,15.0,Automatisch,0.0,Diesel,194.0,Nieuw,1124.5398639931248,True
4236,Volgswagen,Coupé,79750.0,8450.0,Automatisch,1.0,Benzine,320.0,Gebruikt,777.2738855690118,True
4237,Volgswagen,Coupé,77350.0,63275.0,Automatisch,6.0,Benzine,613.0,Gebruikt,755.7535977452125,False
4238,Volgswagen,Coupé,56900.0,48149.0,Automatisch,3.0,Benzine,211.0,Gebruikt,656.3844609916548,False
4239,Volgswagen,Coupé,42495.0,23714.0,Automatisch,4.0,Benzine,258.0,Gebruikt,512.0427351865164,False
4240,Volgswagen,Coupé,23945.0,167300.0,Automatisch,6.0,Elektrisch,156.0,Gebruikt,487.14764841433873,True
4241,Volgswagen,Coupé,47900.0,26333.0,Automatisch,5.0,Benzine,245.0,Gebruikt,536.1340542572041,False
4242,Volgswagen,Coupé,33690.0,47767.0,Automatisch,6.0,Diesel,170.0,Gebruikt,521.9252359558926,True
4243,Volgswagen,Coupé,19950.0,60427.0,Automatisch,10.0,Elektrisch,184.0,Gebruikt,345.548185063518,True
4244,Volgswagen,Coupé,59700.0,59188.0,Automatisch,4.0,Benzine,334.0,Gebruikt,609.6679195916004,True
4245,Volgswagen,Coupé,54950.0,130274.0,Automatisch,5.0,Benzine,320.0,Gebruikt,640.7126929803196,True
4246,Volgswagen,Coupé,250845.0,6500.0,Automatisch,1.0,Benzine,639.0,Demo,2180.441014710208,True
4247,Volgswagen,Coupé,89950.0,59143.0,Automatisch,6.0,Benzine,557.0,Gebruikt,908.3806085282176,True
4248,Volgswagen,Coupé,123985.0,5000.0,Automatisch,0.0,Benzine,421.0,Demo,1190.7732559956587,True
4249,Volgswagen,Coupé,45950.0,117566.0,Automatisch,4.0,Elektrisch,245.0,Gebruikt,539.6640645848274,True
4250,Volgswagen,Coupé,39750.0,32750.0,Automatisch,2.0,Benzine,136.0,Gebruikt,513.996827315955,False
4251,Volgswagen,Coupé,13950.0,149000.0,Automatisch,12.0,Benzine,204.0,Gebruikt,280.4660171798166,False
4252,Volgswagen,Coupé,14950.0,150649.0,Automatisch,13.0,Benzine,292.0,Gebruikt,290.66759211006854,True
4253,Volgswagen,Coupé,14995.0,209041.0,Automatisch,13.0,Benzine,292.0,Gebruikt,189.49247723416968,False
4254,Volgswagen,Coupé,19950.0,187914.0,Automatisch,8.0,Benzine,184.0,Gebruikt,290.75716076827206,False
4255,Volgswagen,Coupé,46900.0,39797.0,Automatisch,5.0,Benzine,184.0,Gebruikt,508.06813503071805,True
4256,Volgswagen,Coupé,18249.0,90841.0,Automatisch,9.0,Benzine,184.0,Gebruikt,296.5506107995437,False
4257,Volgswagen,Coupé,48950.0,14000.0,Automatisch,2.0,Elektrisch,156.0,Gebruikt,535.4291162769994,False
4258,Volgswagen,Coupé,48900.0,115158.0,Automatisch,4.0,Benzine,211.0,Gebruikt,529.9136833790052,False
4259,Volgswagen,Coupé,29950.0,23029.0,Automatisch,6.0,Benzine,184.0,Gebruikt,423.7667413728932,True
4260,Volgswagen,Coupé,12950.0,133687.0,Automatisch,35.0,Benzine,179.0,Oldtimer,251.6119650608732,False
4261,Volgswagen,Coupé,16950.0,122416.0,Automatisch,10.0,Benzine,156.0,Gebruikt,258.83559802265745,False
4262,Volgswagen,Coupé,69950.0,93022.0,Automatisch,7.0,Benzine,455.0,Gebruikt,758.999464159695,True
4263,Volgswagen,Coupé,10450.0,182100.0,Automatisch,19.0,Benzine,306.0,Gebruikt,199.03784315528287,False
4264,Volgswagen,Coupé,18900.0,96011.0,Automatisch,10.0,Benzine,204.0,Gebruikt,294.5950479913784,True
4265,Volgswagen,Coupé,42138.0,38754.0,Automatisch,3.0,Benzine,156.0,Gebruikt,496.641361590026,True
4266,Volgswagen,Coupé,16900.0,157424.0,Automatisch,12.0,Benzine,294.0,Gebruikt,367.7017378536598,True
4267,Volgswagen,Coupé,18950.0,103235.0,Automatisch,50.0,Benzine,150.0,Oldtimer,240.5843233729404,False
4268,Volgswagen,Coupé,35900.0,39808.0,Automatisch,4.0,Benzine,156.0,Gebruikt,462.1615201957474,False
4269,Volgswagen,Coupé,34995.0,118188.0,Automatisch,5.0,Benzine,184.0,Gebruikt,428.8944253334722,False
4270,Volgswagen,Coupé,33445.0,31739.0,Automatisch,6.0,Elektrisch,184.0,Gebruikt,501.0145398997748,True
4271,Volgswagen,Coupé,13909.0,205059.0,Automatisch,11.0,Benzine,292.0,Gebruikt,261.0332404088786,True
4272,Volgswagen,Coupé,6941.0,163281.0,Handgeschakeld,15.0,Benzine,204.0,Gebruikt,266.0794706818433,True
4273,Volgswagen,Coupé,10950.0,252274.0,Automatisch,11.0,Benzine,204.0,Gebruikt,247.20160327000409,True
4274,Volgswagen,Coupé,2390.0,149000.0,Handgeschakeld,20.0,Elektrisch,143.0,Gebruikt,147.66373008381197,True
4275,Volgswagen,Coupé,6400.0,142749.0,Handgeschakeld,19.0,Benzine,165.0,Gebruikt,119.84500472291938,True
4276,Volgswagen,Coupé,5094.0,287660.0,Automatisch,20.0,Benzine,218.0,Gebruikt,234.9693359611199,False
4277,Volgswagen,Coupé,3950.0,167048.0,Automatisch,24.0,Benzine,136.0,Gebruikt,257.3099235055192,True
4278,Volgswagen,Coupé,64500.0,29831.0,Automatisch,3.0,Benzine,334.0,Gebruikt,702.6334530243024,True
4279,Volgswagen,Coupé,49950.0,70400.0,Automatisch,10.0,Benzine,477.0,Gebruikt,539.0816352749449,False
4280,Volgswagen,Coupé,295000.0,1977.0,Automatisch,3.0,Benzine,585.0,Gebruikt,2604.3660382307435,False
4281,Volgswagen,Coupé,119950.0,59305.0,Automatisch,7.0,Benzine,508.0,Gebruikt,985.242425155674,False
4282,Volgswagen,Coupé,107500.0,22609.0,Automatisch,6.0,Benzine,462.0,Gebruikt,1007.0271096920064,True
4283,Volgswagen,Coupé,149500.0,5721.0,Automatisch,1.0,Benzine,436.0,Gebruikt,1413.805792156474,False
4284,Volgswagen,Coupé,95950.0,41629.0,Automatisch,7.0,Benzine,510.0,Gebruikt,956.446737117484,True
4285,Volgswagen,Coupé,579890.0,4700.0,Automatisch,1.0,Benzine,731.0,Gebruikt,4974.617491453416,False
4286,Volgswagen,Coupé,79900.0,29400.0,Automatisch,3.0,Benzine,435.0,Gebruikt,791.8700063296214,False
4287,Volgswagen,Coupé,164995.0,98959.0,Automatisch,2.0,Benzine,612.0,Gebruikt,1536.8124398726095,False
4288,Volgswagen,Coupé,79500.0,53109.0,Automatisch,5.0,Benzine,510.0,Gebruikt,865.9416706635216,True
4289,Volgswagen,Coupé,144850.0,32095.0,Automatisch,2.0,Benzine,435.0,Gebruikt,1343.3630376377705,True
4290,Volgswagen,Coupé,95645.0,88105.0,Automatisch,5.0,Benzine,585.0,Gebruikt,942.5056983316466,False
4291,Volgswagen,Coupé,104950.0,25895.0,Automatisch,8.0,Benzine,510.0,Gebruikt,980.7960536978898,True
4292,Volgswagen,Coupé,97500.0,99500.0,Automatisch,7.0,Benzine,510.0,Gebruikt,953.5571052656964,False
4293,Volgswagen,Coupé,97995.0,36329.0,Half/Semi-automaat,3.0,Benzine,510.0,Gebruikt,979.2667371464424,True
4294,Volgswagen,Coupé,174850.0,19718.0,Automatisch,3.0,Benzine,557.0,Gebruikt,1570.2362510012742,True
4295,Volgswagen,Coupé,169950.0,27851.0,Automatisch,6.0,Benzine,585.0,Gebruikt,1548.9742856179232,False
4296,Volgswagen,Coupé,93950.0,88511.0,Automatisch,6.0,Benzine,744.0,Gebruikt,893.3607085615195,False
4297,Volgswagen,Coupé,299800.0,5000.0,Automatisch,2.0,Benzine,585.0,Gebruikt,2603.1423346867,False
4298,Volgswagen,Coupé,209500.0,1150.0,Automatisch,4.0,Benzine,557.0,Gebruikt,1861.3204140302723,False
4299,Volgswagen,Coupé,117500.0,17092.0,Automatisch,4.0,Benzine,470.0,Gebruikt,1069.583071945119,False
4300,Volgswagen,Coupé,41900.0,95700.0,Automatisch,5.0,Benzine,333.0,Gebruikt,513.4879559271824,True
4301,Volgswagen,Coupé,109950.0,25602.0,Automatisch,3.0,Benzine,700.0,Gebruikt,1064.7333961148145,True
4302,Volgswagen,Coupé,205000.0,8623.0,Automatisch,1.0,Benzine,612.0,Gebruikt,1918.6221099867464,True
4303,Volgswagen,Coupé,89900.0,57400.0,Automatisch,4.0,Benzine,600.0,Gebruikt,988.2412413544438,False
4304,Volgswagen,Coupé,35750.0,79895.0,Automatisch,14.0,Benzine,525.0,Gebruikt,424.8841572047954,False
4305,Volgswagen,Coupé,162500.0,30443.0,Automatisch,5.0,Benzine,585.0,Gebruikt,1580.4989493133903,False
4306,Volgswagen,Coupé,97750.0,57201.0,Automatisch,7.0,Benzine,510.0,Gebruikt,1030.954551520597,True
4307,Volgswagen,Coupé,148995.0,8212.0,Automatisch,1.0,Benzine,436.0,Gebruikt,1397.9087928057004,False
4308,Volgswagen,Coupé,33800.0,25000.0,Automatisch,6.0,Benzine,232.0,Gebruikt,468.6525080916292,False
4309,Volgswagen,Coupé,169995.0,3003.0,Automatisch,1.0,Benzine,436.0,Gebruikt,1540.547908783504,True
4310,Volgswagen,Coupé,65950.0,24645.0,Automatisch,2.0,Diesel,194.0,Gebruikt,775.8916032205325,True
4311,Volgswagen,Coupé,102950.0,44710.0,Automatisch,5.0,Benzine,510.0,Gebruikt,1037.076036668379,False
4312,Volgswagen,Coupé,57950.0,110206.0,Automatisch,6.0,Benzine,476.0,Gebruikt,714.8012037624952,False
4313,Volgswagen,Coupé,236000.0,20600.0,Automatisch,9.0,Benzine,571.0,Gebruikt,2153.1616140609867,True
4314,Volgswagen,Coupé,,,,,,,,,False
4315,Volgswagen,Coupé,99900.0,56803.0,Automatisch,7.0,Benzine,510.0,Gebruikt,891.9755958993537,True
4316,Volgswagen,Coupé,58950.0,53918.0,Automatisch,7.0,Benzine,368.0,Gebruikt,716.5374826229017,True
4317,Volgswagen,Coupé,43500.0,49955.0,Automatisch,5.0,Benzine,333.0,Gebruikt,606.6939749017884,False
4318,Volgswagen,Coupé,55900.0,109836.0,Automatisch,6.0,Benzine,476.0,Gebruikt,666.3816927817909,True
4319,Volgswagen,Coupé,97500.0,23703.0,Automatisch,4.0,Benzine,367.0,Gebruikt,940.4061158379768,True
4320,Volgswagen,Coupé,107500.0,41833.0,Automatisch,6.0,Benzine,510.0,Gebruikt,1100.6405647413746,False
4321,Volgswagen,Coupé,52950.0,77678.0,Automatisch,5.0,Elektrisch,258.0,Gebruikt,654.7231662162986,True
4322,Volgswagen,Coupé,180845.0,18004.0,Automatisch,6.0,Benzine,585.0,Gebruikt,1650.0279251084987,False
4323,Volgswagen,Coupé,18400.0,193932.0,Automatisch,9.0,Benzine,211.0,Gebruikt,229.76499619644008,False
4324,Volgswagen,Coupé,45945.0,32198.0,Automatisch,3.0,Benzine,258.0,Gebruikt,481.3998965144531,True
4325,Volgswagen,Coupé,94850.0,95758.0,Automatisch,4.0,Benzine,367.0,Gebruikt,940.0009778849152,True
4326,Volgswagen,Coupé,73645.0,21292.0,Automatisch,2.0,Benzine,306.0,Gebruikt,792.1827793629379,True
4327,Volgswagen,Coupé,80845.0,32641.0,Automatisch,2.0,Benzine,421.0,Gebruikt,901.936430962136,True
4328,Volgswagen,Coupé,169880.0,38390.0,Automatisch,3.0,Benzine,612.0,Gebruikt,1601.1137028869405,True
4329,Volgswagen,Coupé,63990.0,72908.0,Automatisch,6.0,Benzine,476.0,Gebruikt,692.7847733248516,True
4330,Volgswagen,Coupé,85000.0,74999.0,Automatisch,6.0,Benzine,510.0,Gebruikt,885.0032883984003,False
4331,Volgswagen,Coupé,48400.0,36266.0,Automatisch,3.0,Benzine,258.0,Gebruikt,527.2232198216485,False
4332,Volgswagen,Coupé,79500.0,93868.0,Automatisch,4.0,Benzine,455.0,Gebruikt,901.419912502537,True
4333,Volgswagen,Coupé,169880.0,33684.0,Automatisch,3.0,Benzine,640.0,Gebruikt,1580.527124808843,False
4334,Volgswagen,Coupé,96800.0,26715.0,Automatisch,3.0,Benzine,476.0,Gebruikt,909.85250122675,True
4335,Volgswagen,Coupé,43900.0,62284.0,Automatisch,5.0,Benzine,245.0,Gebruikt,569.3543693987917,False
4336,Volgswagen,Coupé,49950.0,49700.0,Automatisch,5.0,Benzine,245.0,Gebruikt,521.0914957811747,True
4337,Volgswagen,Coupé,67500.0,145000.0,Automatisch,4.0,Benzine,367.0,Gebruikt,709.4095129079058,False
4338,Volgswagen,Coupé,93450.0,35940.0,Automatisch,6.0,Benzine,462.0,Gebruikt,976.4312069585876,False
4339,Volgswagen,Coupé,329950.0,7285.0,Automatisch,1.0,Benzine,585.0,Gebruikt,2826.68763818318,True
4340,Volgswagen,Coupé,114850.0,7111.0,Automatisch,1.0,Benzine,333.0,Gebruikt,1129.7703017271242,False
4341,Volgswagen,Coupé,129500.0,3478.0,Automatisch,6.0,Benzine,510.0,Gebruikt,1243.0118269201903,False
4342,Volgswagen,Coupé,89895.0,86499.0,Automatisch,7.0,Benzine,510.0,Gebruikt,930.364213672496,False
4343,Volgswagen,Coupé,89940.0,38848.0,Automatisch,4.0,Benzine,510.0,Gebruikt,884.9394556252406,False
4344,Volgswagen,Coupé,89950.0,86071.0,Automatisch,7.0,Benzine,510.0,Gebruikt,950.1239627542052,False
4345,Volgswagen,Coupé,24500.0,58000.0,,5.0,Benzine,156.0,Gebruikt,253.16226796558897,True
4346,Volgswagen,Coupé,89890.0,114929.0,Automatisch,5.0,Benzine,455.0,Gebruikt,845.5210408357947,False
4347,Volgswagen,Coupé,89890.0,54629.0,Automatisch,3.0,Benzine,436.0,Gebruikt,846.8929628426131,False
4348,Volgswagen,Coupé,22950.0,220640.0,Automatisch,6.0,Diesel,170.0,Gebruikt,285.1083535340092,False
4349,Volgswagen,Coupé,64750.0,39613.0,Automatisch,6.0,Benzine,476.0,Gebruikt,825.3977087285161,True
4350,Volgswagen,Coupé,31995.0,63000.0,Automatisch,4.0,Benzine,184.0,Gebruikt,427.7761986526509,False
4351,Volgswagen,Coupé,79990.0,38767.0,Automatisch,5.0,Benzine,510.0,Gebruikt,833.9159469737789,False
4352,Volgswagen,Coupé,114850.0,49535.0,Automatisch,2.0,Diesel,330.0,Gebruikt,1114.6400636980115,False
4353,Volgswagen,Coupé,124850.0,46433.0,Automatisch,3.0,Benzine,469.0,Gebruikt,1249.8738138240992,False
4354,Volgswagen,Coupé,73645.0,19175.0,Automatisch,2.0,Benzine,306.0,Gebruikt,748.1207968540643,True
4355,Volgswagen,Coupé,58645.0,77315.0,Automatisch,5.0,Benzine,367.0,Gebruikt,563.5499757943836,True
4356,Volgswagen,Coupé,39000.0,61000.0,,15.0,Benzine,481.0,Gebruikt,532.2030427499035,False
4357,Volgswagen,Coupé,63950.0,101627.0,Automatisch,6.0,Benzine,476.0,Gebruikt,600.989497882334,False
4358,Volgswagen,Coupé,84890.0,49776.0,Automatisch,5.0,Benzine,510.0,Gebruikt,799.425377967042,False
4359,Volgswagen,Coupé,179900.0,39383.0,Automatisch,2.0,Benzine,639.0,Gebruikt,1665.7289403751809,False
4360,Volgswagen,Coupé,22500.0,61800.0,Automatisch,13.0,Benzine,292.0,Gebruikt,324.28112850833827,False
4361,Volgswagen,Coupé,72950.0,62351.0,Automatisch,6.0,Benzine,510.0,Gebruikt,761.3665554753728,False
4362,Volgswagen,Coupé,64000.0,101814.0,Automatisch,6.0,Benzine,510.0,Gebruikt,647.2898449162933,False
4363,Volgswagen,Coupé,62500.0,120695.0,Automatisch,5.0,Benzine,510.0,Gebruikt,682.088741173101,True
4364,Volgswagen,Coupé,219000.0,24717.0,Automatisch,12.0,Benzine,571.0,Gebruikt,2048.365769249887,True
4365,Volgswagen,Coupé,109850.0,26165.0,Automatisch,3.0,Benzine,510.0,Gebruikt,1047.1257157395626,False
4366,Volgswagen,Coupé,64995.0,37646.0,Automatisch,2.0,Benzine,211.0,Gebruikt,711.496480495824,False
4367,Volgswagen,Coupé,137500.0,7822.0,Automatisch,15.0,Benzine,507.0,Gebruikt,1255.9699699284834,False
4368,Volgswagen,Coupé,26980.0,100000.0,,32.0,Benzine,287.0,Gebruikt,395.0092435461799,True
4369,Volgswagen,Coupé,63500.0,60000.0,Automatisch,6.0,Benzine,367.0,Gebruikt,651.4417631452894,True
4370,Volgswagen,Coupé,15950.0,128479.0,Automatisch,11.0,Benzine,184.0,Gebruikt,309.8006870689708,True
4371,Volgswagen,Coupé,15900.0,163377.0,Automatisch,13.0,Benzine,294.0,Gebruikt,284.09196147128466,False
4372,Volgswagen,Coupé,89995.0,96427.0,Automatisch,4.0,Benzine,476.0,Gebruikt,886.1622737177593,False
4373,Volgswagen,Coupé,15000.0,260532.0,,45.0,Benzine,200.0,Gebruikt,316.3980972892493,True
4374,Volgswagen,Coupé,31500.0,96333.0,Automatisch,8.0,Benzine,306.0,Gebruikt,403.4060368760325,True
4375,Volgswagen,Coupé,17950.0,45694.0,Automatisch,13.0,Benzine,204.0,Gebruikt,335.58620156349343,True
4376,Volgswagen,Coupé,55000.0,55000.0,Automatisch,4.0,Benzine,245.0,Gebruikt,640.3449486362174,False
4377,Volgswagen,Coupé,72950.0,34621.0,Automatisch,2.0,Benzine,320.0,Gebruikt,758.4504595706742,False
4378,Volgswagen,Coupé,35900.0,87261.0,Automatisch,5.0,Benzine,245.0,Gebruikt,401.4730356425422,False
4379,Volgswagen,Coupé,77995.0,104141.0,Automatisch,7.0,Benzine,585.0,Gebruikt,779.4795811733004,True
